u,v,name,highway,length,geometry_wkt
13882913741,13882913742,QV Square,pedestrian,1.0742991120172012,"LINESTRING (144.9656149 -37.8107109, 144.9656027 -37.8107109)"
13882913742,13882913743,QV Square,pedestrian,1.1424289566700976,"LINESTRING (144.9656027 -37.8107109, 144.9655908 -37.810715)"
13882913743,13882913744,QV Square,pedestrian,6.153853791827893,"LINESTRING (144.9655908 -37.810715, 144.9655446 -37.8107566)"
13882913744,13882913746,QV Square,pedestrian,0.8742094111151955,"LINESTRING (144.9655446 -37.8107566, 144.9655412 -37.810764)"
13882913746,13882913745,QV Square,pedestrian,0.8900757209019988,"LINESTRING (144.9655412 -37.810764, 144.9655405 -37.810772)"
13882913745,6573513191,QV Square,pedestrian,1.7141218026621454,"LINESTRING (144.9655405 -37.810772, 144.9655472 -37.8107865)"
6573513191,13891346679,QV Square,pedestrian,1.2484247628153797,"LINESTRING (144.9655472 -37.8107865, 144.9655526 -37.8107969)"
6725414985,13891346693,,footway,1.6533131049993497,"LINESTRING (144.9656282 -37.8102754, 144.9656364 -37.8102888)"
13891346693,13891346697,,footway,2.231705115511757,"LINESTRING (144.9656364 -37.8102888, 144.9656469 -37.8103071)"
13891346697,12482435931,,footway,19.425656919897282,"LINESTRING (144.9656469 -37.8103071, 144.9657449 -37.8104639)"
13882913757,13882913756,,pedestrian,29.393746082901725,"LINESTRING (144.9647786 -37.8107443, 144.964485 -37.8106183)"
6167236662,9354555674,Constance Stone Lane,pedestrian,15.507823361787048,"LINESTRING (144.9661354 -37.8110161, 144.9660745 -37.810885)"
245537622,6167236661,Shilling Lane,pedestrian,35.12349183771369,"LINESTRING (144.9655594 -37.8108477, 144.9657031 -37.8111429)"
13811904779,13882913755,Albert Coates Lane,pedestrian,30.339993164698004,"LINESTRING (144.9649127 -37.811078, 144.9648344 -37.8113442)"
246076364,6721914080,,footway,3.992002559803287,"LINESTRING (144.973364 -37.8146003, 144.9733805 -37.8146338)"
246076857,663499818,,footway,13.785304743072846,"LINESTRING (144.9736982 -37.8152627, 144.9737564 -37.815378)"
246439415,246439421,Little Bourke Place,pedestrian,11.841809998916021,"LINESTRING (144.9715116 -37.8099695, 144.9716381 -37.8099333)"
246439421,6167236674,Little Bourke Place,pedestrian,28.184808455399818,"LINESTRING (144.9716381 -37.8099333, 144.9715296 -37.8096944)"
6167236674,595594344,Little Bourke Place,pedestrian,8.098450355516261,"LINESTRING (144.9715296 -37.8096944, 144.9715024 -37.8096247)"
246439432,246439443,,pedestrian,15.770252451658529,"LINESTRING (144.9715345 -37.8100173, 144.9713672 -37.810068)"
246439443,6167236675,,pedestrian,33.80446680526261,"LINESTRING (144.9713672 -37.810068, 144.9712373 -37.8097814)"
6167236675,595594345,,pedestrian,8.16770137649155,"LINESTRING (144.9712373 -37.8097814, 144.9712061 -37.8097121)"
6845703359,6167236666,,pedestrian,60.81381221097552,"LINESTRING (144.967922 -37.8099176, 144.9681553 -37.8104333)"
247008062,6167236667,,pedestrian,6.868705641931622,"LINESTRING (144.9683419 -37.8104421, 144.9683172 -37.8103834)"
6167236667,247008065,,pedestrian,6.855391437431585,"LINESTRING (144.9683172 -37.8103834, 144.9682926 -37.8103248)"
